X,Y,G
106.7083,-6.2293,46.90
106.7250,-6.2293,47.50
106.7417,-6.2293,48.20
106.7583,-6.2293,49.00
106.7750,-6.2293,49.60
106.7917,-6.2293,50.10
106.8083,-6.2293,50.20
106.8250,-6.2293,50.10
106.8417,-6.2293,49.60
106.8583,-6.2293,49.00
106.8750,-6.2293,48.20
106.8917,-6.2293,47.30
106.9083,-6.2293,46.50
106.9250,-6.2293,45.70
106.9417,-6.2293,44.90
106.9583,-6.2293,44.10
106.9750,-6.2293,43.20
106.9917,-6.2293,42.00
107.0083,-6.2293,40.60
106.0083,-6.2458,124.30
106.0250,-6.2458,124.30
106.0417,-6.2458,122.60
106.0583,-6.2458,119.10
106.0750,-6.2458,113.90
106.0917,-6.2458,107.20
106.1083,-6.2458,99.50
106.1250,-6.2458,91.40
106.1417,-6.2458,83.30
106.1583,-6.2458,76.10
106.1750,-6.2458,70.00
106.1917,-6.2458,65.40
106.2083,-6.2458,62.20
106.2250,-6.2458,60.40
106.2417,-6.2458,59.70
